QUERY_ID,USER_ID,INPUT_QUERY,CREATED_AT
157,1,gv me Sachin Tendulkar's farewell match t-shirt?,2025-12-17 20:10:54.614956
158,1,gv me Tendulkar's farewell match t-shirt?,2025-12-17 20:11:05.387206
159,1,gv me Sachin Tendulkar's farewell match t-shirt?,2025-12-17 20:11:23.119147
160,1,gv me Sachin's farewell match t-shirt?,2025-12-17 20:11:34.508829
161,1,what is best fit for st patrick's day?,2025-12-17 20:12:08.169144
162,1,what is best fit for st patrick's day?,2025-12-17 20:13:00.684019
163,1,what is best fit for st patrick's day?,2025-12-17 20:13:05.405553
164,1,what is best fit for st patrick's day?,2025-12-17 20:13:10.853309
165,1,what is best fit for st patrick's day?,2025-12-17 20:13:14.831250
166,4,what is best fit for st patrick's day?,2025-12-17 23:15:27.804508
167,4,give me Tendulkar's farewell match t-shirt?,2025-12-17 23:16:29.132941
168,4,what is best fit for st patrick's day?,2025-12-17 23:16:53.127514
169,4,I want something to wear for my friend's funeral,2025-12-17 23:17:16.317558
170,4,I want to go to a mosque,2025-12-17 23:17:45.889416
171,4,I want to go to a mosque,2025-12-17 23:18:43.529786
172,4,give me dress which I can wear to mosque,2025-12-17 23:18:59.209495
173,4,give me dress which I can wear to temple,2025-12-17 23:19:49.910653
174,4,I want to get a slide for me,2025-12-17 23:20:34.524015
175,4,I want to get a slide for men,2025-12-17 23:20:59.512592
176,4,I want to gift my girlfriend for Honeymoon,2025-12-17 23:21:43.998337
177,4,Gift for my Boyfriend,2025-12-17 23:21:59.603355
178,4,I need a dress for my friend mairrage,2025-12-17 23:22:42.780313
179,4,I need a men dress for my friend mairrage,2025-12-17 23:23:13.186941
180,4,I need bikini,2025-12-17 23:24:28.499743
181,4,I need panty,2025-12-17 23:24:46.050984
182,4,I need Bra,2025-12-17 23:25:17.650260
183,4,I need men trunks,2025-12-17 23:25:59.671469
184,4,gv me dress that Souvik was wearing yesterday?,2025-12-17 23:26:23.933947
185,4,gv me dress that Neetu was wearing yesterday?,2025-12-17 23:26:45.347904
186,4,gv me a red-wine color t-shirt,2025-12-17 23:27:12.506478
187,4,I'm going with a transylvania theme for tomorrow.,2025-12-17 23:27:48.762407
188,4,I want a dress which is not a sea blue,2025-12-17 23:28:11.076422
189,4,I want a dress which is not a  blue,2025-12-17 23:28:19.768608
190,4,I want a dress which is not a blue,2025-12-17 23:28:33.656473
191,4,Red summer dress for women,2025-12-17 23:30:24.611743
192,4,women’s outfit for beach vacation,2025-12-17 23:30:47.733084
193,4,womans witer jakt,2025-12-17 23:31:09.808789
194,4,black formal shoes under 2000 rupees for men,2025-12-17 23:32:17.112594
195,4,black formal shoes under 200 rupees for men,2025-12-17 23:33:18.441735
196,4,backpack for college use,2025-12-17 23:33:52.237706
197,4,backpack for college use with rating above 3.5,2025-12-17 23:34:27.800915
198,4,backpack for college use with rating above 3.5,2025-12-17 23:35:08.776847
199,4,something to wear for party,2025-12-17 23:35:26.087259
200,4,shoes for women,2025-12-17 23:37:34.107142
201,4,mobile phone charger,2025-12-17 23:38:30.568341
202,4,jeans under 80,2025-12-17 23:38:56.131014
203,4,jeans under 80 above 5,2025-12-17 23:39:19.725399
204,4,jeans priced under 80 above 10 doller,2025-12-17 23:39:44.099631
205,4,running outfit,2025-12-17 23:40:07.286665
206,4,"""product with: No brand Title only No description""",2025-12-17 23:40:27.838580
